method,strain,protein,EBC_ID,best_rank,n_complexes,total_interactions,n_hydrophobic,n_hbond,n_water_bridge,n_salt_bridge,n_pi_stack,n_pi_cation,n_halogen_bond,n_metal_complex
AD,congo,OPG112,EBC-44402,82,1,213,93,99,0,9,2,0,10,0
AD,congo,OPG112,EBC-46024,33,1,163,70,79,0,6,0,2,6,0
AD,congo,OPG112,EBC-46057,11,1,216,136,69,0,8,2,1,0,0
AD,congo,OPG112,EBC-46294,10,1,244,86,136,0,17,0,0,5,0
AD,congo,OPG112,EBC-47073,21,1,208,83,106,0,4,0,3,12,0
AD,congo,OPG112,EBC-47114,70,1,184,97,67,0,2,3,1,14,0
AD,congo,OPG112,EBC-47119,44,1,248,101,135,0,9,1,2,0,0
AD,congo,OPG112,EBC-48186,34,1,134,80,44,0,5,0,1,4,0
AD,congo,OPG112,EBC-49026,75,1,148,88,52,0,7,0,1,0,0
AD,congo,OPG112,EBC-54045,66,1,176,67,87,0,19,2,0,1,0
AD,congo,OPG112,EBC-63089,4,1,252,90,138,0,18,1,3,2,0
AD,congo,OPG112,EBC-68053,100,1,196,148,41,0,3,4,0,0,0
AD,congo,OPG112,EBC-84050,22,1,220,92,113,0,11,1,2,1,0
AD,congo,OPG120,EBC-00634,37,1,242,170,58,0,7,2,5,0,0
AD,congo,OPG120,EBC-00711,74,1,205,178,17,0,8,0,2,0,0
AD,congo,OPG120,EBC-02079,11,1,207,148,51,0,8,0,0,0,0
AD,congo,OPG120,EBC-02080,57,1,191,131,57,0,3,0,0,0,0
AD,congo,OPG120,EBC-03852,61,1,176,148,27,0,0,1,0,0,0
AD,congo,OPG120,EBC-03865,66,1,235,213,19,0,1,2,0,0,0
AD,congo,OPG120,EBC-06061,26,1,216,139,64,0,7,2,4,0,0
AD,congo,OPG120,EBC-06090,75,1,130,90,35,0,4,1,0,0,0
AD,congo,OPG120,EBC-06111,15,1,160,133,26,0,0,0,1,0,0
AD,congo,OPG120,EBC-06903,91,1,235,175,42,0,10,2,6,0,0
AD,congo,OPG120,EBC-07102,34,1,175,147,25,0,1,1,1,0,0
AD,congo,OPG120,EBC-07115,86,1,202,167,28,0,4,2,0,1,0
AD,congo,OPG120,EBC-07121,60,1,211,175,32,0,0,2,0,2,0
AD,congo,OPG120,EBC-07250,65,1,183,162,18,0,1,0,2,0,0
AD,congo,OPG120,EBC-07286,22,1,176,136,26,0,4,3,1,6,0
AD,congo,OPG120,EBC-07301,31,1,207,195,7,0,0,2,3,0,0
AD,congo,OPG120,EBC-07367,47,1,215,166,44,0,2,1,2,0,0
AD,congo,OPG120,EBC-07421,98,1,188,153,26,0,4,1,1,3,0
AD,congo,OPG120,EBC-07516,59,1,191,134,42,0,5,1,5,4,0
AD,congo,OPG120,EBC-07557,53,1,217,143,57,0,8,6,3,0,0
AD,congo,OPG120,EBC-07603,29,1,146,121,19,0,2,0,1,3,0
AD,congo,OPG120,EBC-07604,28,1,168,141,21,0,0,0,0,6,0
AD,congo,OPG120,EBC-07670,44,1,242,165,64,0,6,4,3,0,0
AD,congo,OPG120,EBC-07940,81,1,231,140,75,0,5,2,1,8,0
AD,congo,OPG120,EBC-07988,40,1,333,211,96,0,20,2,4,0,0
AD,congo,OPG120,EBC-08468,54,1,160,125,27,0,5,1,2,0,0
AD,congo,OPG120,EBC-08587,6,1,152,126,25,0,1,0,0,0,0
AD,congo,OPG120,EBC-08908,94,1,235,160,68,0,4,0,2,1,0
AD,congo,OPG120,EBC-08915,12,1,248,209,31,0,5,1,2,0,0
AD,congo,OPG120,EBC-09029,79,1,204,123,58,0,7,5,2,9,0
AD,congo,OPG120,EBC-09032,41,1,187,120,54,0,5,0,3,5,0
